	Cell Line HMS LINCS ID	Cell Line Name	Protein HMS LINCS ID	Protein Name	Ligand Concentration	Conc unit	Measured pAkt:10min log10(a.u.)	Measured pAkt:30min log10(a.u.)	Measured pAkt:90min log10(a.u.)	Measured pErk:10min log10(a.u.)	Measured pErk:30min log10(a.u.)	Measured pErk:90min log10(a.u.)	Control pAkt (a.u.)	Control pErk (a.u.)
174	50206	HCC1395	200850.0	EGF	1.0	ng/ml	4.21155176368	4.30736748484	4.32077047333	4.10906758767	4.07174323173	3.95279215255	4.01051357359	3.36066383399
175	50206	HCC1395	200850.0	EGF	100.0	ng/ml	4.34498500523	4.42415230783	4.28242132138	4.24146805647	4.1526863366	3.36066383399	4.01051357359	3.36066383399
176	50207	HCC1419	200850.0	EGF	1.0	ng/ml	4.52586367141	4.46525932767	4.44797746945	4.35941573972	4.29062331594	4.32549037667	4.43351337251	4.3597440433
177	50207	HCC1419	200850.0	EGF	100.0	ng/ml	4.63511431879	4.611703982	4.58923175263	4.54882460021	4.38514383449	4.42773660009	4.43351337251	4.3597440433
178	50208	HCC1428	200850.0	EGF	1.0	ng/ml	3.01708302977	3.01708302977	3.01708302977	4.33605889726	4.14254641581	4.06324532751	3.01708302977	2.11493774959
179	50208	HCC1428	200850.0	EGF	100.0	ng/ml	3.01708302977	3.01708302977	3.01708302977	4.58942604475	4.32869279419	3.76270781574	3.01708302977	2.11493774959
180	50210	HCC1569	200850.0	EGF	1.0	ng/ml	4.54848954617	4.55697954453	4.49811291173	4.56883020967	4.4746773187	4.33378645599	4.37319526932	3.71356034381
181	50210	HCC1569	200850.0	EGF	100.0	ng/ml	4.78013782429	4.79557728851	4.73770035106	4.66758749796	4.53843334453	4.32974901753	4.37319526932	3.71356034381
182	50211	HCC1806	200850.0	EGF	1.0	ng/ml	4.0964056955	4.33139492063	4.42464457124	4.63592115858	4.68318189187	4.62391085785	3.90734330881	3.79432112839
183	50211	HCC1806	200850.0	EGF	100.0	ng/ml	4.4380684958	4.36639207919	4.2578347968	4.79818353812	4.75793710951	4.62622878145	3.90734330881	3.79432112839
184	50212	HCC1937	200850.0	EGF	1.0	ng/ml	3.97971473134	3.79446176512	3.89223349903	4.5015097905	4.34556985405	4.34085949034	3.35104530216	2.62878421355
185	50212	HCC1937	200850.0	EGF	100.0	ng/ml	4.24579047806	4.18245959188	4.02487192766	4.61902871408	4.5263663941	4.34712249986	3.35104530216	2.62878421355
186	50213	HCC1954	200850.0	EGF	1.0	ng/ml	3.72082685909	3.71598889475	3.87185192682	4.5742462424	4.55017795974	4.53453445362	3.49286175912	3.81323094361
187	50213	HCC1954	200850.0	EGF	100.0	ng/ml	3.95984414248	3.99309090629	3.93720549889	4.59697497628	4.58427240967	4.5462331801	3.49286175912	3.81323094361
188	50214	HCC202	200850.0	EGF	1.0	ng/ml	4.77699233239	4.75016105954	4.75291477317	4.3481871007	4.38806747314	4.34993992837	4.72998614978	3.54027027154
